Sport,League,Match,Bet Type,Bet,Odds,Edge,Confidence,Stake,Info,Date_Generated,Result,Profit,Score
Soccer,EPL,Newcastle United vs Tottenham Hotspur,Moneyline,Away Win,4.5,0.3125177413639286,0.2916706091919841,0.0254114050424053,Best: BetRivers,2025-11-26,Pending,0.0,
Soccer,EPL,Arsenal vs Brentford,Moneyline,Draw,5.75,0.1696403795624175,0.2034157181847682,0.0100809585313427,Best: Bovada,2025-11-26,Loss,-0.0100809585313427,2-1
Soccer,EPL,Arsenal vs Brentford,Moneyline,Away Win,10.5,0.5746479560728837,0.1499664720069413,0.0170743611580995,Best: BetRivers,2025-11-26,Loss,-0.0170743611580995,2-1
Soccer,EPL,Brighton and Hove Albion vs Aston Villa,Moneyline,Away Win,3.17,0.302351588051696,0.4108364631077905,0.0384696310203498,Best: LowVig.ag,2025-11-26,Pending,0.0,
Soccer,EPL,Burnley vs Crystal Palace,Moneyline,Draw,3.96,0.1002561227308989,0.2778424552350755,0.0092011714724325,Best: LowVig.ag,2025-11-26,Loss,-0.0092011714724325,0-2
Soccer,EPL,Leeds United vs Chelsea,Moneyline,Away Win,1.8,0.3524938364950019,0.7513854647194455,0.1270528070224142,Best: Bovada,2025-11-26,Pending,0.0,
Soccer,EPL,Manchester United vs West Ham United,Moneyline,Away Win,7.0,0.1066414604251047,0.1580916372035863,0.0050099345457865,Best: FanDuel,2025-11-26,Pending,0.0,
NFL,NFL,Green Bay Packers @ Detroit Lions,Moneyline,Home Win,1.7,0.0625,0.625,0.0223214285714285,Best: DraftKings,2025-11-26,Pending,0.0,
NFL,NFL,Kansas City Chiefs @ Dallas Cowboys,Moneyline,Home Win,2.54,0.5874999999999999,0.625,0.0953733766233766,Best: DraftKings,2025-11-26,Pending,0.0,
NFL,NFL,Atlanta Falcons @ New York Jets,Moneyline,Home Win,2.28,0.4249999999999998,0.625,0.0830078124999999,Best: FanDuel,2025-11-26,Pending,0.0,
NFL,NFL,Los Angeles Rams @ Carolina Panthers,Moneyline,Home Win,6.3,2.9375,0.625,0.138561320754717,Best: FanDuel,2025-11-26,Pending,0.0,
NFL,NFL,San Francisco 49ers @ Cleveland Browns,Moneyline,Home Win,3.05,0.90625,0.625,0.1105182926829268,Best: Bovada,2025-11-26,Pending,0.0,
NFL,NFL,Jacksonville Jaguars @ Tennessee Titans,Moneyline,Home Win,3.65,1.28125,0.625,0.1208726415094339,Best: FanDuel,2025-11-26,Pending,0.0,
NFL,NFL,Buffalo Bills @ Pittsburgh Steelers,Moneyline,Home Win,2.74,0.7125000000000001,0.625,0.1023706896551724,Best: BetOnline.ag,2025-11-26,Pending,0.0,
NFL,NFL,Denver Broncos @ Washington Commanders,Moneyline,Home Win,3.75,1.34375,0.625,0.1221590909090909,Best: FanDuel,2025-11-26,Pending,0.0,
NFL,NFL,Seattle Seahawks @ Atlanta Falcons,Moneyline,Home Win,4.8,2.0,0.625,0.131578947368421,Best: FanDuel,2025-11-26,Pending,0.0,
NFL,NFL,Indianapolis Colts @ Jacksonville Jaguars,Moneyline,Home Win,2.42,0.5125,0.625,0.0902288732394366,Best: FanDuel,2025-11-26,Pending,0.0,
